0.0,29.85
0.0056,29.87
0.0111,29.91
0.0167,29.93
0.0222,29.96
0.0278,30.02
0.0333,30.01
0.0389,29.98
0.0444,29.99
0.0500,30.03
0.0556,30.04
0.0611,30.01
0.0667,29.97
0.0722,29.95
0.0778,29.98
0.0833,30.00
0.0889,30.02
0.0944,30.01
0.1000,29.99
0.1056,30.00
0.1111,30.03
0.1167,29.98
0.1222,29.96
0.1278,30.01
0.1333,30.02
0.1389,30.00
0.1444,29.99
0.1500,30.01
0.1556,30.00
0.1611,29.97
0.1667,29.99
0.1722,30.02
0.1778,30.03
0.1833,30.01
0.1889,29.98
0.1944,30.00
0.2000,30.02
0.2056,30.00
0.2111,29.99
0.2167,30.01
0.2222,30.03
0.2278,30.01
0.2333,29.98
0.2389,30.00
0.2444,29.99
0.2500,30.02
0.2556,30.01
0.2611,29.97
0.2667,30.00
0.2722,30.03
0.2778,30.02
0.2833,30.00
0.2889,29.98
0.2944,30.01
0.3000,30.00
0.3056,29.99
0.3111,30.02
0.3167,30.01
0.3222,29.98
0.3278,30.00
0.3333,30.02
0.3389,30.01
0.3444,29.99
0.3500,30.03
0.3556,30.01
0.3611,29.98
0.3667,30.00
0.3722,30.02
0.3778,30.00
0.3833,29.99
0.3889,30.01
0.3944,30.03
0.4000,30.01
0.4056,29.98
0.4111,30.00
0.4167,29.99
0.4222,30.02
0.4278,30.01
0.4333,29.97
0.4389,30.00
0.4444,30.02
0.4500,30.01
