0.0,0.048
0.0056,0.051
0.0111,0.054
0.0167,0.058
0.0222,0.062
0.0278,0.067
0.0333,0.073
0.0389,0.079
0.0444,0.086
0.0500,0.094
0.0556,0.103
0.0611,0.113
0.0667,0.124
0.0722,0.136
0.0778,0.149
0.0833,0.163
0.0889,0.179
0.0944,0.196
0.1000,0.215
0.1056,0.235
0.1111,0.257
0.1167,0.281
0.1222,0.307
0.1278,0.335
0.1333,0.365
0.1389,0.393
0.1444,0.098
0.1500,0.103
0.1556,0.111
0.1611,0.120
0.1667,0.131
0.1722,0.143
0.1778,0.157
0.1833,0.172
0.1889,0.188
0.1944,0.206
0.2000,0.225
0.2056,0.245
0.2111,0.267
0.2167,0.291
0.2222,0.317
0.2278,0.344
0.2333,0.370
0.2389,0.391
0.2444,0.101
0.2500,0.107
0.2556,0.116
0.2611,0.127
0.2667,0.139
0.2722,0.152
0.2778,0.167
0.2833,0.183
0.2889,0.201
0.2944,0.220
0.3000,0.241
0.3056,0.264
0.3111,0.288
0.3167,0.314
0.3222,0.341
0.3278,0.368
0.3333,0.392
0.3389,0.099
0.3444,0.105
0.3500,0.114
0.3556,0.125
0.3611,0.137
0.3667,0.150
0.3722,0.165
0.3778,0.181
0.3833,0.198
0.3889,0.217
0.3944,0.238
0.4000,0.261
0.4056,0.285
0.4111,0.311
0.4167,0.338
0.4222,0.365
0.4278,0.390
0.4333,0.096
0.4389,0.102
0.4444,0.111
0.4500,0.121
